City,State,Cost of Living Index,total_crime,Average Income,latitude,longitude,temp_month_1,precip_month_1,temp_month_2,precip_month_2,temp_month_3,precip_month_3,temp_month_4,precip_month_4,temp_month_5,precip_month_5,temp_month_6,precip_month_6,temp_month_7,precip_month_7,temp_month_8,precip_month_8,temp_month_9,precip_month_9,temp_month_10,precip_month_10,temp_month_11,precip_month_11,temp_month_12,precip_month_12,avg_annual_temp,avg_annual_precip
Abilene,TX,89.1,12,58181.0,32.44645,-99.7475905,9.98,21.13,9.57,37.34,14.22,31.28,17.62,33.85,22.91,138.74,27.25,86.62,30.51,53.69,31.88,9.71,28.1,78.95,19.6,86.41,13.38,4.46,10.67,38.48,19.64083333333333,51.72166666666667
Adrian,MI,90.5,3,51391.0,41.8975152,-84.0373054,0.42,66.77,0.74,107.46,3.27,94.89,9.86,66.32,15.13,27.06,20.11,62.2,22.55,161.27,20.85,82.56,18.48,41.14,12.51,87.23,4.97,23.36,4.44,50.6,11.110833333333334,72.57166666666667
Akron,OH,89.4,9,64598.0,41.083064,-81.518485,2.97,110.18,4.23,45.57,4.68,81.22,11.47,76.96,15.1,36.59,18.68,48.79,22.51,120.23,20.84,138.86,18.54,13.16,13.01,73.45,5.17,28.71,4.73,55.16,11.827499999999999,69.07333333333334
Alamogordo,NM,85.8,0,43353.0,32.8998822,-105.9602081,5.02,16.65,6.28,10.09,10.65,6.55,14.94,0.0,20.74,14.21,24.82,12.85,29.54,28.89,27.13,53.55,23.51,41.32,17.51,11.36,10.17,8.42,5.86,20.2,16.347499999999997,18.674166666666668
Albany,GA,87.3,12,47803.0,31.5782062,-84.1556809,12.05,172.41,16.01,70.67,16.89,84.59,19.33,89.16,22.1,90.34,25.46,189.9,28.13,119.86,28.59,105.55,24.82,51.67,19.22,54.59,14.16,47.33,11.12,128.76,19.823333333333334,100.40249999999997
Albany,OR,105.4,0,57016.0,44.6365071,-123.1059324,5.55,81.47,4.35,62.85,6.03,125.46,9.68,144.04,15.56,12.0,17.44,5.35,20.8,0.25,22.03,4.63,16.97,64.28,12.75,75.57,7.46,130.45,7.24,200.39,12.155000000000001,75.56166666666665
Albany,NY,100.1,36,78464.0,42.6511674,-73.754968,0.81,91.41,0.04,35.71,2.83,91.86,11.42,93.72,14.59,46.59,19.41,101.83,24.15,196.16,20.99,127.11,18.57,125.62,13.86,89.31,4.14,46.56,3.33,143.53,11.178333333333335,99.1175
Albertville,AL,90.9,0,48602.0,34.2675937,-86.2088669,9.11,167.31,11.34,131.56,12.57,167.84,15.55,152.13,19.64,79.56,23.47,80.31,25.78,109.66,25.7,159.9,22.66,32.24,17.24,13.92,11.78,45.11,7.98,119.28,16.901666666666667,104.90166666666666
Albuquerque,NM,92.9,293,58895.0,35.0841034,-106.650985,2.15,7.16,3.62,9.65,7.37,18.08,12.92,0.22,18.6,10.06,22.54,2.85,28.99,2.53,25.96,29.75,21.5,23.76,15.43,0.97,7.41,24.43,3.32,28.62,14.150833333333333,13.173333333333334
Alexandria,LA,86.2,4,56169.0,31.3119463,-92.4453558,13.06,212.17,14.41,119.25,17.3,88.51,18.38,129.55,23.41,65.31,27.75,74.65,29.28,67.8,31.42,9.26,26.82,43.46,20.87,19.29,13.95,83.01,11.32,80.57,20.664166666666663,82.73583333333333
Allentown,PA,98.9,3,65898.0,40.6022059,-75.4712794,4.08,107.74,2.94,28.19,4.79,70.28,12.45,113.44,15.05,26.28,19.83,114.47,24.6,162.93,22.14,125.1,19.19,134.45,13.73,40.23,5.22,74.16,4.54,206.17,12.38,100.28666666666665
Altoona,PA,90.8,2,57782.0,40.518681,-78.394736,2.82,90.39,2.99,49.58,3.58,68.43,11.2,76.25,13.93,41.39,18.13,102.03,22.51,134.62,20.96,123.84,17.49,82.64,12.33,81.13,4.89,57.25,3.87,72.96,11.225,81.70916666666666
Amarillo,TX,88.2,0,58933.0,35.20729,-101.8371192,4.66,6.23,6.04,6.23,9.51,7.93,13.65,20.58,19.29,151.96,23.0,108.14,27.22,47.17,27.38,16.59,23.9,27.66,16.09,11.87,9.81,8.08,5.9,43.37,15.537500000000001,37.98416666666667
