CALENDAR_YEAR,LOCATION_ID,LOCATION,GENDER,EXPERIENCING_HOMELESSNESS_CNT
2017,All,California,Cisgender Man,101083
2017,All,California,Cisgender Woman,78722
2017,All,California,Client doesn't know,1492
2017,All,California,"Culturally Specific, Non-Binary, and/or a Different Identity",164
2017,All,California,Questioning,*
2017,All,California,Transgender,711
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680
2017,CA-500,Santa Clara County CoC,Client doesn't know,12
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-500,Santa Clara County CoC,Transgender,41
2017,CA-501,San Francisco CoC,Cisgender Man,2411
2017,CA-501,San Francisco CoC,Cisgender Woman,1699
2017,CA-501,San Francisco CoC,Client doesn't know,197
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20
2017,CA-501,San Francisco CoC,Questioning,*
2017,CA-501,San Francisco CoC,Transgender,53
2017,CA-502,Alameda County CoC,Cisgender Man,3542
2017,CA-502,Alameda County CoC,Cisgender Woman,3011
2017,CA-502,Alameda County CoC,Client doesn't know,22
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-502,Alameda County CoC,Questioning,*
2017,CA-502,Alameda County CoC,Transgender,19
2017,CA-503,Sacramento County CoC,Cisgender Man,5879
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302
2017,CA-503,Sacramento County CoC,Client doesn't know,*
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12
2017,CA-503,Sacramento County CoC,Transgender,32
2017,CA-504,Sonoma County CoC,Cisgender Man,1742
2017,CA-504,Sonoma County CoC,Cisgender Woman,1320
2017,CA-504,Sonoma County CoC,Client doesn't know,*
2017,CA-504,Sonoma County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-504,Sonoma County CoC,Questioning,*
2017,CA-504,Sonoma County CoC,Transgender,16
2017,CA-505,Contra Costa County CoC,Cisgender Man,2723
2017,CA-505,Contra Costa County CoC,Cisgender Woman,2081
2017,CA-505,Contra Costa County CoC,Client doesn't know,*
2017,CA-505,Contra Costa County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-505,Contra Costa County CoC,Transgender,*
2017,CA-506,"Monterey, San Benito Counties CoC",Cisgender Man,1022
2017,CA-506,"Monterey, San Benito Counties CoC",Cisgender Woman,1226
2017,CA-506,"Monterey, San Benito Counties CoC","Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-506,"Monterey, San Benito Counties CoC",Questioning,*
2017,CA-506,"Monterey, San Benito Counties CoC",Transgender,*
2017,CA-507,Marin County CoC,Cisgender Man,957
2017,CA-507,Marin County CoC,Cisgender Woman,664
2017,CA-507,Marin County CoC,Client doesn't know,*
2017,CA-507,Marin County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-507,Marin County CoC,Transgender,*
2017,CA-508,Santa Cruz County CoC,Cisgender Man,1076
2017,CA-508,Santa Cruz County CoC,Cisgender Woman,748
2017,CA-508,Santa Cruz County CoC,Client doesn't know,12
2017,CA-508,Santa Cruz County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-508,Santa Cruz County CoC,Transgender,*
2017,CA-509,Mendocino County CoC,Cisgender Man,466
2017,CA-509,Mendocino County CoC,Cisgender Woman,240
2017,CA-509,Mendocino County CoC,Client doesn't know,*
2017,CA-509,Mendocino County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-509,Mendocino County CoC,Transgender,*
2017,CA-510,Stanislaus County CoC,Cisgender Man,3112
2017,CA-510,Stanislaus County CoC,Cisgender Woman,3072
2017,CA-510,Stanislaus County CoC,Client doesn't know,*
2017,CA-510,Stanislaus County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-510,Stanislaus County CoC,Transgender,12
2017,CA-511,San Joaquin County CoC,Cisgender Man,4027
2017,CA-511,San Joaquin County CoC,Cisgender Woman,3814
2017,CA-511,San Joaquin County CoC,Transgender,*
2017,CA-512,San Mateo County CoC,Cisgender Man,2399
2017,CA-512,San Mateo County CoC,Cisgender Woman,1851
2017,CA-512,San Mateo County CoC,Client doesn't know,*
2017,CA-512,San Mateo County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-512,San Mateo County CoC,Transgender,*
2017,CA-513,"Kings, Tulare Counties CoC",Cisgender Man,1552
2017,CA-513,"Kings, Tulare Counties CoC",Cisgender Woman,1398
2017,CA-513,"Kings, Tulare Counties CoC","Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-513,"Kings, Tulare Counties CoC",Transgender,*
2017,CA-514,"Fresno, Madera Counties CoC",Cisgender Man,1236
2017,CA-514,"Fresno, Madera Counties CoC",Cisgender Woman,1077
2017,CA-514,"Fresno, Madera Counties CoC",Client doesn't know,*
2017,CA-514,"Fresno, Madera Counties CoC","Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-514,"Fresno, Madera Counties CoC",Transgender,*
2017,CA-515,Placer County CoC,Cisgender Man,702
2017,CA-515,Placer County CoC,Cisgender Woman,555
2017,CA-515,Placer County CoC,Client doesn't know,*
2017,CA-515,Placer County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-515,Placer County CoC,Transgender,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Cisgender Man,93
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Cisgender Woman,158
