CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,All,"American Indian, Alaska Native, or Indigenous",Alone,1935
2017,All,"American Indian, Alaska Native, or Indigenous",In_Combination,7392
2017,All,Asian or Asian American,Alone,2746
2017,All,Asian or Asian American,In_Combination,1577
2017,All,"Black, African American or African",Alone,54052
2017,All,"Black, African American or African",In_Combination,7734
2017,All,Hispanic/Latina/e/o,Alone,3746
2017,All,Hispanic/Latina/e/o,In_Combination,55844
2017,All,Native Hawaiian or Pacific Islander,Alone,1934
2017,All,Native Hawaiian or Pacific Islander,In_Combination,1834
2017,All,White,Alone,51373
2017,All,White,In_Combination,52995
2017,CA-500,"American Indian, Alaska Native, or Indigenous",Alone,119
2017,CA-500,"American Indian, Alaska Native, or Indigenous",In_Combination,840
2017,CA-500,Asian or Asian American,Alone,378
2017,CA-500,Asian or Asian American,In_Combination,135
2017,CA-500,"Black, African American or African",Alone,1373
2017,CA-500,"Black, African American or African",In_Combination,362
2017,CA-500,Hispanic/Latina/e/o,Alone,258
2017,CA-500,Hispanic/Latina/e/o,In_Combination,4524
2017,CA-500,Native Hawaiian or Pacific Islander,Alone,175
2017,CA-500,Native Hawaiian or Pacific Islander,In_Combination,178
2017,CA-500,White,Alone,2460
2017,CA-500,White,In_Combination,4099
2017,CA-501,"American Indian, Alaska Native, or Indigenous",Alone,71
2017,CA-501,"American Indian, Alaska Native, or Indigenous",In_Combination,298
2017,CA-501,Asian or Asian American,Alone,174
2017,CA-501,Asian or Asian American,In_Combination,57
2017,CA-501,"Black, African American or African",Alone,1593
2017,CA-501,"Black, African American or African",In_Combination,234
2017,CA-501,Hispanic/Latina/e/o,Alone,206
2017,CA-501,Hispanic/Latina/e/o,In_Combination,991
2017,CA-501,Native Hawaiian or Pacific Islander,Alone,94
2017,CA-501,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,White,Alone,810
2017,CA-501,White,In_Combination,763
2017,CA-502,"American Indian, Alaska Native, or Indigenous",Alone,70
2017,CA-502,"American Indian, Alaska Native, or Indigenous",In_Combination,406
2017,CA-502,Asian or Asian American,Alone,172
2017,CA-502,Asian or Asian American,In_Combination,123
2017,CA-502,"Black, African American or African",Alone,3461
2017,CA-502,"Black, African American or African",In_Combination,616
2017,CA-502,Hispanic/Latina/e/o,Alone,46
2017,CA-502,Hispanic/Latina/e/o,In_Combination,1235
2017,CA-502,Native Hawaiian or Pacific Islander,Alone,72
2017,CA-502,Native Hawaiian or Pacific Islander,In_Combination,147
2017,CA-502,White,Alone,983
2017,CA-502,White,In_Combination,1132
2017,CA-503,"American Indian, Alaska Native, or Indigenous",Alone,150
2017,CA-503,"American Indian, Alaska Native, or Indigenous",In_Combination,482
2017,CA-503,Asian or Asian American,Alone,127
2017,CA-503,Asian or Asian American,In_Combination,107
2017,CA-503,"Black, African American or African",Alone,4722
2017,CA-503,"Black, African American or African",In_Combination,919
2017,CA-503,Hispanic/Latina/e/o,Alone,49
2017,CA-503,Hispanic/Latina/e/o,In_Combination,1909
2017,CA-503,Native Hawaiian or Pacific Islander,Alone,152
2017,CA-503,Native Hawaiian or Pacific Islander,In_Combination,129
2017,CA-503,White,Alone,3389
2017,CA-503,White,In_Combination,2001
2017,CA-504,"American Indian, Alaska Native, or Indigenous",Alone,64
2017,CA-504,"American Indian, Alaska Native, or Indigenous",In_Combination,441
2017,CA-504,Asian or Asian American,Alone,25
2017,CA-504,Asian or Asian American,In_Combination,34
2017,CA-504,"Black, African American or African",Alone,188
2017,CA-504,"Black, African American or African",In_Combination,95
2017,CA-504,Hispanic/Latina/e/o,Alone,37
2017,CA-504,Hispanic/Latina/e/o,In_Combination,768
2017,CA-504,Native Hawaiian or Pacific Islander,Alone,26
2017,CA-504,Native Hawaiian or Pacific Islander,In_Combination,48
2017,CA-504,White,Alone,1611
2017,CA-504,White,In_Combination,638
2017,CA-505,"American Indian, Alaska Native, or Indigenous",Alone,49
2017,CA-505,"American Indian, Alaska Native, or Indigenous",In_Combination,415
2017,CA-505,Asian or Asian American,Alone,67
2017,CA-505,Asian or Asian American,In_Combination,54
2017,CA-505,"Black, African American or African",Alone,1767
2017,CA-505,"Black, African American or African",In_Combination,223
2017,CA-505,Hispanic/Latina/e/o,Alone,30
2017,CA-505,Hispanic/Latina/e/o,In_Combination,841
2017,CA-505,Native Hawaiian or Pacific Islander,Alone,91
2017,CA-505,Native Hawaiian or Pacific Islander,In_Combination,65
2017,CA-505,White,Alone,1614
2017,CA-505,White,In_Combination,600
2017,CA-506,"American Indian, Alaska Native, or Indigenous",Alone,15
2017,CA-506,"American Indian, Alaska Native, or Indigenous",In_Combination,100
2017,CA-506,Asian or Asian American,Alone,33
2017,CA-506,Asian or Asian American,In_Combination,42
2017,CA-506,"Black, African American or African",Alone,203
2017,CA-506,"Black, African American or African",In_Combination,89
2017,CA-506,Hispanic/Latina/e/o,Alone,25
2017,CA-506,Hispanic/Latina/e/o,In_Combination,1313
2017,CA-506,Native Hawaiian or Pacific Islander,Alone,31
2017,CA-506,Native Hawaiian or Pacific Islander,In_Combination,29
2017,CA-506,White,Alone,544
2017,CA-506,White,In_Combination,1270
2017,CA-507,"American Indian, Alaska Native, or Indigenous",Alone,26
2017,CA-507,"American Indian, Alaska Native, or Indigenous",In_Combination,35
2017,CA-507,Asian or Asian American,Alone,33
2017,CA-507,Asian or Asian American,In_Combination,*
2017,CA-507,"Black, African American or African",Alone,318
2017,CA-507,"Black, African American or African",In_Combination,54
2017,CA-507,Hispanic/Latina/e/o,Alone,46
2017,CA-507,Hispanic/Latina/e/o,In_Combination,311
2017,CA-507,Native Hawaiian or Pacific Islander,Alone,13
2017,CA-507,Native Hawaiian or Pacific Islander,In_Combination,15
2017,CA-507,White,Alone,797
2017,CA-507,White,In_Combination,313
2017,CA-508,"American Indian, Alaska Native, or Indigenous",Alone,37
2017,CA-508,"American Indian, Alaska Native, or Indigenous",In_Combination,218
2017,CA-508,Asian or Asian American,Alone,14
2017,CA-508,Asian or Asian American,In_Combination,20
2017,CA-508,"Black, African American or African",Alone,92
2017,CA-508,"Black, African American or African",In_Combination,46
2017,CA-508,Hispanic/Latina/e/o,Alone,43
2017,CA-508,Hispanic/Latina/e/o,In_Combination,616
2017,CA-508,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-508,Native Hawaiian or Pacific Islander,In_Combination,22
2017,CA-508,White,Alone,922
2017,CA-508,White,In_Combination,490
2017,CA-509,"American Indian, Alaska Native, or Indigenous",Alone,47
2017,CA-509,"American Indian, Alaska Native, or Indigenous",In_Combination,46
2017,CA-509,Asian or Asian American,Alone,*
2017,CA-509,Asian or Asian American,In_Combination,*
2017,CA-509,"Black, African American or African",Alone,39
2017,CA-509,"Black, African American or African",In_Combination,*
2017,CA-509,Hispanic/Latina/e/o,Alone,*
2017,CA-509,Hispanic/Latina/e/o,In_Combination,72
2017,CA-509,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-509,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-509,White,Alone,503
2017,CA-509,White,In_Combination,80
