name,year,tothomeless_count,longitude,latitude
Irwindale,2017,50.0,-117.934214,34.1069927
Pico-Union,2017,229.0,-118.2878942,34.0465669
Glendora,2017,220.0,-117.865339,34.1361187
Industry,2017,126.0,-117.9593061,34.0182252
Sylmar,2017,392.0,-118.4492148,34.3076252
Torrance,2017,136.0,-118.3413606,33.8371392
Alhambra,2017,88.0,-118.12706,34.093042
Pico Rivera,2017,212.0,-118.096735,33.9830688
Rolling Hills Estates,2017,0.0,-118.3581284,33.7877943
Signal Hill,2017,0.0,-118.168259,33.804826
Hawthorne,2017,100.0,-118.3426122,33.9128272
North Hills,2017,318.0,-118.4854081,34.2429575
Hacienda Heights,2017,46.0,-117.968675,33.9930677
Harbor Gateway,2017,162.0,-118.29817047501172,33.85283015
Lopez/Kagel Canyons,2017,1.0,-118.3825744,34.3112356
Citrus,2017,23.0,-117.89480702241568,34.116069499999995
Lake Balboa,2017,25.0,-118.5010456,34.1938237
Granada Hills,2017,95.0,-118.5174342,34.2661558
Palms,2017,190.0,-118.4042754,34.0293247
Santa Monica,2017,828.0,-118.491227,34.0194704
Pacoima,2017,321.0,-118.427027,34.2625025
Toluca Lake,2017,22.0,-118.357141,34.1521688
Veterans Administration,2017,357.0,-118.4563619213905,34.05749994999999
Valley Village,2017,87.0,-118.3965758,34.1637147
Brentwood,2017,68.0,-118.4732,34.0522
Pomona,2017,873.0,-117.7517496,34.0553813
South Whittier,2017,231.0,-118.028805,33.9366769
Pasadena,2017,0.0,-118.144155,34.1476507
Winnetka,2017,65.0,-118.5711037,34.2013207
Palmdale,2017,407.0,-118.11711,34.5793131
Porter Ranch,2017,7.0,-118.5612714,34.2818164
South El Monte,2017,83.0,-118.0467339,34.0519548
Tujunga Canyons,2017,204.0,,
Commerce,2017,317.0,-118.1541961,34.003218
San Fernando,2017,35.0,-118.437652,34.28497
Sherman Oaks,2017,79.0,-118.448986,34.1508718
Bradbury,2017,0.0,-117.970898,34.1469511
Panorama City,2017,311.0,-118.4453745,34.2242902
Northridge,2017,195.0,-118.5369316,34.2345615
Culver City,2017,207.0,-118.396466,34.0211224
Lakewood,2017,46.0,-118.117191,33.8503463
Compton,2017,498.0,-118.226624,33.894927
Vernon,2017,26.0,-118.22525,34.007135
San Dimas,2017,16.0,-117.8069361,34.1065404
Inglewood,2017,348.0,-118.353132,33.9562003
Charter Oak,2017,21.0,-117.87259525711492,34.10026465
Paramount,2017,79.0,-118.171005,33.898917
San Pedro,2017,561.0,-118.2922934,33.7358518
Lincoln Heights,2017,253.0,-118.2111954,34.0726552
Boyle Heights,2017,702.0,-118.2097684,34.0436892
Historic South-Central,2017,1143.0,-118.2673085,34.0162304
Avalon,2017,6.0,-118.3272612,33.34221
Westlake,2017,1570.0,-118.2728204,34.0629226
Mission Hills,2017,165.0,-118.46888,34.272259
Quartz Hill,2017,12.0,-118.2181308,34.6452645
Marina del Rey,2017,30.0,-118.448647,33.9776848
Bell,2017,140.0,-118.1866361,33.9747806
Long Beach,2017,0.0,-118.191604,33.7690164
San Gabriel,2017,15.0,-118.1085554,34.0990995
Downey,2017,119.0,-118.1292846,33.9404441
Diamond Bar,2017,7.0,-117.8103367,34.0286226
La Canada Flintridge,2017,0.0,-118.2005236,34.1998302
West Covina,2017,168.0,-117.9389526,34.0686208
Redondo Beach,2017,255.0,-118.3845942,33.8398289
Vermont Square,2017,517.0,-118.3002125,34.0019449
Santa Fe Springs,2017,116.0,-118.0691499,33.9480787
Calabasas,2017,5.0,-118.644097,34.1446643
Altadena,2017,7.0,-118.13764517809464,34.1932513
Bell Gardens,2017,95.0,-118.1503953,33.9694561
Sun Valley,2017,810.0,-118.3878945,34.2204227
Playa Vista,2017,58.0,-118.4181654,33.9760102
Carson,2017,441.0,-118.2517547,33.8322043
Hollywood Hills,2017,87.0,-118.3465777,34.1216903
Lancaster,2017,860.0,-118.1366153,34.6981064
Leona Valley,2017,12.0,-118.288133,34.618321
Whittier,2017,209.0,-118.0338664,33.9749136
Walnut,2017,6.0,-117.8653386,34.0202894
Castaic Canyons,2017,44.0,,
Silver Lake,2017,157.0,-118.269373,34.0896518
Whittier Narrows,2017,87.0,-118.0632491,34.0358238
Glendale,2017,0.0,-118.2478471,34.1469416
West Whittier-Los Nietos,2017,107.0,,
Atwater Village,2017,12.0,-118.2623924,34.1186975
East Whittier,2017,30.0,-117.9889525,33.9244577
El Sereno,2017,146.0,-118.1778495,34.0811213
Montecito Heights,2017,62.0,-118.1942792,34.0895404
Florence,2017,449.0,-118.2432856,33.9741588
Huntington Park,2017,225.0,-118.2252073,33.9805731
Cheviot Hills,2017,14.0,-118.4098875,34.0405878
Cypress Park,2017,51.0,-118.224517,34.0922322
Desert View Highlands,2017,10.0,-118.1534710675988,34.5899673
Baldwin Park,2017,152.0,-117.9611761,34.0854739
Montebello,2017,359.0,-118.111975,34.0159398
Leimert Park,2017,127.0,-118.3314469,34.008441
Santa Clarita,2017,295.0,-118.5538088,34.4127963
Elysian Park,2017,9.0,-118.234413650369,34.08289815
Wilmington,2017,459.0,-118.262509,33.7800164
Jefferson Park,2017,189.0,-118.3224597,34.0296173
Downtown,2017,5941.0,-118.2521002,34.047996
Encino,2017,42.0,-118.5016166,34.1591324
West Adams,2017,107.0,-118.3524833,34.0294356
Hawaiian Gardens,2017,12.0,-118.074313,33.8284787
Agoura Hills,2017,21.0,-118.7655456,34.1481692
Baldwin Hills/Crenshaw,2017,100.0,-118.33717115171464,34.0109246
Lake View Terrace,2017,79.0,-118.3611912,34.2763908
Adams-Normandie,2017,91.0,-118.3002466,34.0317877
El Monte,2017,475.0,-118.036849,34.0751571
Rancho Dominguez,2017,0.0,-118.2167197,33.8595564
Acton,2017,52.0,-118.1868378638664,34.48074149999999
Studio City,2017,80.0,-118.3961877,34.1483989
La Puente,2017,34.0,-117.953097,34.0280619
North Hollywood,2017,425.0,-118.374752,34.1649502
Rosemead,2017,57.0,-118.0879763,34.0676169
San Marino,2017,0.0,-118.105739,34.1215947
East San Gabriel,2017,19.0,-118.08264942404072,34.11726715
South Park,2017,357.0,-118.2661,34.0407
Burbank,2017,217.0,-118.307201,34.1812089
Woodland Hills,2017,82.0,-118.6058382,34.1684364
Angeles Crest,2017,81.0,-118.30906482081195,33.72409825
East Compton,2017,21.0,-118.195348,33.8980712
Chatsworth,2017,366.0,-118.6017022,34.2572499
Mayflower Village,2017,8.0,-118.00958190376812,34.1173306
Koreatown,2017,401.0,-118.3004,34.0575
South Gate,2017,157.0,-118.200981,33.9463456
Elysian Valley,2017,36.0,-118.2420326,34.0959128
Claremont,2017,19.0,-117.7197785,34.0966764
Avocado Heights,2017,52.0,-117.99724788576845,34.0406759
South San Gabriel,2017,48.0,-118.0942289,34.0497275
Northwest Antelope Valley,2017,18.0,,
Echo Park,2017,565.0,-118.2567824,34.0779819
Lynwood,2017,97.0,-118.2024154,33.924831
Unincorporated Santa Susana Mountains,2017,8.0,,
Shadow Hills,2017,52.0,-118.3517463,34.2619469
La Habra Heights,2017,1.0,-117.9504255,33.9604546
Covina,2017,77.0,-117.8891164,34.0877926
Northwest Palmdale,2017,388.0,,
Sawtelle,2017,361.0,-118.4507991,34.039893
Rancho Park,2017,116.0,-118.4262057,34.0341731
East Los Angeles,2017,566.0,-118.172015,34.0239015
Beverlywood,2017,9.0,-118.39492,34.0459334
Bellflower,2017,159.0,-118.1167679,33.8825705
Azusa,2017,119.0,-117.9056046,34.1338751
Del Rey,2017,143.0,-118.42434,33.98965
Mid-Wilshire,2017,68.0,-118.3458032,34.0568616
North Whittier,2017,9.0,-118.0423,34.0156
Beverly Crest,2017,8.0,-118.4322607,34.1167701
Cerritos,2017,66.0,-118.0539323,33.8644291
West Hills,2017,82.0,-118.645476,34.2032325
Vincent,2017,24.0,-117.9195444136858,34.099446900000004
Sun Village,2017,1.0,-117.95016978591512,34.56484345
Playa del Rey,2017,51.0,-118.4388067,33.9541453
Valinda,2017,27.0,-117.93355898556877,34.0384785
Tujunga,2017,56.0,-118.2884105,34.252225
Exposition Park,2017,344.0,-118.3002033,34.0183415
Eagle Rock,2017,65.0,-118.2140958,34.1390325
