CALENDAR_YEAR,LOCATION_ID,LOCATION,GENDER_CATEGORY,GENDER_HOMELESSNESS_COUNT,RACE_CATEGORY,RACE_COMBINATION,RACE_COUNT
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,"American Indian, Alaska Native, or Indigenous",Alone,119
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,"American Indian, Alaska Native, or Indigenous",In_Combination,840
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,Asian or Asian American,Alone,378
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,Asian or Asian American,In_Combination,135
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,"Black, African American or African",Alone,1373
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,"Black, African American or African",In_Combination,362
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,Hispanic/Latina/e/o,Alone,258
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,Hispanic/Latina/e/o,In_Combination,4524
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,Native Hawaiian or Pacific Islander,Alone,175
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,Native Hawaiian or Pacific Islander,In_Combination,178
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,White,Alone,2460
2017,CA-500,Santa Clara County CoC,Cisgender Man,5946,White,In_Combination,4099
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,"American Indian, Alaska Native, or Indigenous",Alone,119
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,"American Indian, Alaska Native, or Indigenous",In_Combination,840
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,Asian or Asian American,Alone,378
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,Asian or Asian American,In_Combination,135
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,"Black, African American or African",Alone,1373
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,"Black, African American or African",In_Combination,362
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,Hispanic/Latina/e/o,Alone,258
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,Hispanic/Latina/e/o,In_Combination,4524
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,Native Hawaiian or Pacific Islander,Alone,175
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,Native Hawaiian or Pacific Islander,In_Combination,178
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,White,Alone,2460
2017,CA-500,Santa Clara County CoC,Cisgender Woman,3680,White,In_Combination,4099
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,"American Indian, Alaska Native, or Indigenous",Alone,119
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,"American Indian, Alaska Native, or Indigenous",In_Combination,840
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,Asian or Asian American,Alone,378
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,Asian or Asian American,In_Combination,135
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,"Black, African American or African",Alone,1373
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,"Black, African American or African",In_Combination,362
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,Hispanic/Latina/e/o,Alone,258
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,Hispanic/Latina/e/o,In_Combination,4524
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,Native Hawaiian or Pacific Islander,Alone,175
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,Native Hawaiian or Pacific Islander,In_Combination,178
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,White,Alone,2460
2017,CA-500,Santa Clara County CoC,Client doesn't know,12,White,In_Combination,4099
